grid_size,grid_res,years,mu,p_spread,rho,n_repeats,initial_flammable_fraction,initial_num_flammable_clusters,burned_fraction,num_fires,median_fire_size_ha
100,500,1,0.0004,0.1,1,3,1.0,1,0.0001,1,25.0
100,500,1,0.0004,0.1,1,3,1.0,1,0.0001,1,25.0
100,500,1,0.0004,0.1,1,3,1.0,1,0.0001,1,25.0
100,500,1,0.002,0.2,1,3,1.0,1,0.0021,5,100.0
100,500,1,0.002,0.2,1,3,1.0,1,0.0014,5,25.0
100,500,1,0.002,0.2,1,3,1.0,1,0.0006,5,25.0
100,500,1,0.04,0.1,0.5,3,0.4936,694,0.024311183144246355,99,25.0
100,500,1,0.04,0.1,0.5,3,0.5014,670,0.02532907857997607,96,25.0
100,500,1,0.04,0.1,0.5,3,0.5017,655,0.02431732110823201,96,25.0
100,500,1,0.0004,1,1,3,1.0,1,1.0,1,250000.0
100,500,1,0.0004,1,1,3,1.0,1,1.0,1,250000.0
100,500,1,0.0004,1,1,3,1.0,1,1.0,1,250000.0
